aid,sid,cid,acname,acvalue_uM,aidname,cid_1,patentid,cid_2,inchi,inchikey,cmpdsynonym,smiles,exp_type
3414609,,CHEMBL1228974,pIC50,3.570247719997592,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(S(C)(=O)=O)cc3)CC2)c1,displacement
3414646,,CHEMBL1228973,pIC50,3.0979971086492704,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(S(C)(=O)=O)cc3)CC2)c1,antagonist activity
3414610,,CHEMBL1228974,pIC50,5.096910013008056,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(Cl)cc3)CC2)c1,displacement
3414647,,CHEMBL1228973,pIC50,4.187086643357144,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(Cl)cc3)CC2)c1,antagonist activity
3414611,,CHEMBL1228974,pIC50,4.657577319177793,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,displacement
3414648,,CHEMBL1228973,pIC50,4.346787486224656,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,antagonist activity
3414612,,CHEMBL1228974,pIC50,3.494850021680094,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(C(C)(C)C)cc3)CC2)c1,displacement
3414649,,CHEMBL1228973,pIC50,3.2218487496163566,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(C(C)(C)C)cc3)CC2)c1,antagonist activity
3414650,,CHEMBL1228973,pIC50,4.070581074285707,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(OC(F)(F)F)cc3)CC2)c1,antagonist activity
3414613,,CHEMBL1228974,pIC50,4.455931955649724,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3ccc(OC(F)(F)F)cc3)CC2)c1,displacement
3414614,,CHEMBL1228974,pIC50,3.744727494896694,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,COc1cccc(Cn2c(NCCCN3CCC(c4cccc(NC(C)=O)c4)CC3)nc3ccccc32)c1,displacement
3414651,,CHEMBL1228973,pIC50,4.267606240177031,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,COc1cccc(Cn2c(NCCCN3CCC(c4cccc(NC(C)=O)c4)CC3)nc3ccccc32)c1,antagonist activity
3414652,,CHEMBL1228973,pIC50,4.055517327849831,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3cccc(OC(F)(F)F)c3)CC2)c1,antagonist activity
3414615,,CHEMBL1228974,pIC50,3.958607314841775,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3cccc(OC(F)(F)F)c3)CC2)c1,displacement
3414653,,CHEMBL1228973,pIC50,4.031517051446065,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3cccc(C(F)(F)F)c3)CC2)c1,antagonist activity
3414616,,CHEMBL1228974,pIC50,3.8239087409443187,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3Cc3cccc(C(F)(F)F)c3)CC2)c1,displacement
3414657,,CHEMBL1228973,pIC50,2.199282921717615,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,Fc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,antagonist activity
3414620,,CHEMBL1228974,pIC50,3.583359492661719,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,Fc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,displacement
3414658,,CHEMBL1228973,pIC50,2.843148098929989,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,Oc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,antagonist activity
3414621,,CHEMBL1228974,pIC50,3.958607314841775,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,Oc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,displacement
3414659,,CHEMBL1228973,pIC50,2.1203880929341494,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,FC(F)(F)Oc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,antagonist activity
3414622,,CHEMBL1228974,pIC50,3.277366077466188,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,FC(F)(F)Oc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,displacement
3414660,,CHEMBL1228973,pIC50,2.0,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)N(C)c1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,antagonist activity
3414623,,CHEMBL1228974,pIC50,2.7904849854573692,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)N(C)c1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,displacement
3414624,,CHEMBL1228974,pIC50,4.060480747381382,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CCNc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414661,,CHEMBL1228973,pIC50,3.0132282657337552,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CCNc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414625,,CHEMBL1228974,pIC50,5.0,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,O=C(Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1)C1CC1,displacement
3414662,,CHEMBL1228973,pIC50,4.017728766960431,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,O=C(Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1)C1CC1,antagonist activity
3414663,,CHEMBL1228973,pIC50,3.7375489102695707,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(C)C(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414626,,CHEMBL1228974,pIC50,4.823908740944319,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(C)C(=O)Nc1cccc(C2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414664,,CHEMBL1228973,pIC50,3.1884249941294067,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(N2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,antagonist activity
3414627,,CHEMBL1228974,pIC50,3.9507819773298185,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(N2CCN(CCCNc3nc4ccccc4n3-c3ccc(Cl)cc3)CC2)c1,displacement
3414628,,CHEMBL1228974,pIC50,3.1897674820049158,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(N2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414665,,CHEMBL1228973,pIC50,2.5225893120927485,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(N2CCN(CCCNc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414629,,CHEMBL1228974,pIC50,6.221848749616356,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414666,,CHEMBL1228973,pIC50,5.522878745280337,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414667,,CHEMBL1228973,pIC50,3.5528419686577806,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414630,,CHEMBL1228974,pIC50,4.055517327849831,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414631,,CHEMBL1228974,pIC50,3.473660722610156,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414668,,CHEMBL1228973,pIC50,2.833569886156717,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414632,,CHEMBL1228974,pIC50,2.838631997765025,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(C(=O)CCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414669,,CHEMBL1228973,pIC50,2.0,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(C(=O)CCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414670,,CHEMBL1228973,pIC50,3.9507819773298185,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCC(=O)c3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414633,,CHEMBL1228974,pIC50,4.886056647693163,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCC(=O)c3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414634,,CHEMBL1228974,pIC50,5.3979400086720375,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCCC(F)(F)c3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414671,,CHEMBL1228973,pIC50,4.431798275933005,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCCC(F)(F)c3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414672,,CHEMBL1228973,pIC50,3.011887159731648,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CC(=O)Nc1cccc(C2CCN(CCNC(=O)c3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,antagonist activity
3414635,,CHEMBL1228974,pIC50,3.1687703061329366,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CC(=O)Nc1cccc(C2CCN(CCNC(=O)c3nc4ccccc4n3-c3ccc(F)cc3)CC2)c1,displacement
3414673,,CHEMBL1228973,pIC50,3.2471835688117285,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,CCOC(=O)c1ccc(C2CCN(CCCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)cc1O,antagonist activity
3414636,,CHEMBL1228974,pIC50,3.2471835688117285,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,CCOC(=O)c1ccc(C2CCN(CCCCc3nc4ccccc4n3-c3ccc(F)cc3)CC2)cc1O,displacement
3414637,,CHEMBL1228974,pIC50,5.045757490560675,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,O=C1Cc2ccc(C3CCN(CCCCc4nc5ccccc5n4-c4ccc(F)cc4)CC3)cc2N1,displacement
3414674,,CHEMBL1228973,pIC50,5.045757490560675,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,O=C1Cc2ccc(C3CCN(CCCCc4nc5ccccc5n4-c4ccc(F)cc4)CC3)cc2N1,antagonist activity
3414675,,CHEMBL1228973,pIC50,3.9746941347352296,Antagonist activity at human recombinant MCHR1 expressed in CHOK1 cells assessed as reduction in [3H]inositol phosphate levels by scintillation proximity assay,CHEMBL1228973,,CHEMBL1228973,,,,Cc1nc2ccc(C3CCN(CCCCc4nc5ccccc5n4-c4ccc(F)cc4)CC3)cc2[nH]1,antagonist activity
3414638,,CHEMBL1228974,pIC50,3.9746941347352296,Displacement of [125I]MCH from human recombinant MCHR1 expressed in CHOK1 cells by scintillation proximity assay,CHEMBL1228974,,CHEMBL1228974,,,,Cc1nc2ccc(C3CCN(CCCCc4nc5ccccc5n4-c4ccc(F)cc4)CC3)cc2[nH]1,displacement
3430309,,CHEMBL1248553,pKi,3.1079053973095196,Binding affinity to human histamine H1 receptor by radioligand displacement assay,CHEMBL1248553,,CHEMBL1248553,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430333,,CHEMBL1248685,pKi,3.0,Binding affinity to adrenergic alpha1 receptor by radioligand displacement assay,CHEMBL1248685,,CHEMBL1248685,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430349,,CHEMBL1248874,pKi,3.0,Binding affinity to human Ca2+ channel diltiazem site by radioligand displacement assay,CHEMBL1248874,,CHEMBL1248874,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430385,,CHEMBL1248892,pKi,3.0,Binding affinity to human muscle-type nicotinic acetylcholine receptor by radioligand displacement assay,CHEMBL1248892,,CHEMBL1248892,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430389,,CHEMBL1248894,pKi,3.0,Binding affinity to human CB1 receptor by radioligand displacement assay,CHEMBL1248894,,CHEMBL1248894,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430433,,CHEMBL1248537,pKi,3.0,Binding affinity to PDE4 by radioligand displacement assay,CHEMBL1248537,,CHEMBL1248537,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
17991581,,CHEMBL4000278,ppKb,5.245651664288981,Antagonist activity at human dopamine D2L receptor expressed in F1pIn CHO cells assessed as inhibition of ERK1/2 phosphorylation incubated for 5 mins by AlphaScreen assay,CHEMBL4000278,,CHEMBL4000278,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,antagonist activity
17991587,,CHEMBL4000279,ppIC50,2.0700000194928214,Displacement of [3H]NMS from human mAChR1 receptor expressed in F1pIn CHO cells after 60 mins by scintillation counting analysis,CHEMBL4000279,,CHEMBL4000279,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430299,,CHEMBL1248548,pKi,3.0,Binding affinity to human adrenergic beta-1 receptor by radioligand displacement assay,CHEMBL1248548,,CHEMBL1248548,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430313,,CHEMBL1248555,pKi,3.0,Binding affinity to human glucocorticoid receptor by radioligand displacement assay,CHEMBL1248555,,CHEMBL1248555,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430315,,CHEMBL1248556,pKi,3.0,Binding affinity to sigma receptor by radioligand displacement assay,CHEMBL1248556,,CHEMBL1248556,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
3430339,,CHEMBL1248869,pKi,3.0,Binding affinity to human muscarinic M2 receptor by radioligand displacement assay,CHEMBL1248869,,CHEMBL1248869,,,,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,displacement
